Wavenumber	B4C	Si	SiB6	SiC
2699.163086	0.104727	0.367339	0.330931	1171746.25
2696.943359	0.105914	0.365577	0.314904	1169638.875
2694.723633	0.103983	0.360747	0.309902	1166987
2692.50293	0.100881	0.359554	0.300864	1164378.375
2690.28125	0.100683	0.365156	0.298736	1163963.25
2688.05957	0.101385	0.371329	0.310335	1157295.25
2685.836914	0.105514	0.37905	0.322384	1158665
2683.613281	0.106754	0.381357	0.335856	1158658.75
2681.388672	0.105726	0.380566	0.326659	1154389.875
2679.164063	0.107954	0.371315	0.316481	1156372.625
2676.939453	0.10845	0.364394	0.312639	1153889.5
2674.712891	0.107507	0.364227	0.304791	1151993
2672.486328	0.105952	0.362544	0.306106	1145306.375
2670.259766	0.108144	0.370352	0.31249	1144169.75
2668.032227	0.109294	0.377923	0.319533	1139654.75
2665.803711	0.108076	0.382966	0.320347	1141490.875
2663.574219	0.108721	0.382452	0.321114	1141316.125
2661.344727	0.107396	0.37617	0.316253	1137061.25
2659.114258	0.111006	0.37284	0.302561	1137192.625
2656.882813	0.106462	0.369745	0.300952	1136537.125
2654.651367	0.105161	0.36432	0.300544	1133224.625
2652.418945	0.103679	0.365185	0.308991	1134234.75
2650.186523	0.103717	0.36247	0.320252	1132011.75
2647.953125	0.10135	0.367418	0.322075	1129368.125
2645.71875	0.103888	0.374608	0.334467	1124945.5
2643.483398	0.101833	0.379875	0.33194	1126467.75
2641.248047	0.107136	0.383995	0.327695	1121503.75
2639.011719	0.106074	0.388648	0.326513	1120678
2636.775391	0.108542	0.389573	0.314023	1116107.375
2634.538086	0.110123	0.389753	0.308488	1117486.875
2632.299805	0.109354	0.387914	0.300148	1113630
2630.060547	0.106267	0.386407	0.30995	1111734
2627.821289	0.103743	0.381105	0.316285	1109139
2625.582031	0.102803	0.381168	0.314177	1108712.75
2623.34082	0.105434	0.383586	0.317721	1107850.5
2621.099609	0.109806	0.393129	0.317692	1106449.875
2618.857422	0.111515	0.395589	0.313474	1103233.375
2616.615234	0.112318	0.40027	0.309508	1100100.125
2614.37207	0.106337	0.397741	0.300047	1100578.25
2612.12793	0.10321	0.391509	0.316793	1099554.25
2609.883789	0.100067	0.381972	0.314701	1096121.375
2607.638672	0.098073	0.382939	0.309244	1093039
2605.392578	0.100587	0.386209	0.312476	1090568.375
2603.146484	0.103768	0.39511	0.313494	1089229.625
2600.899414	0.108627	0.398359	0.316331	1087808.25
2598.651367	0.11057	0.398426	0.310235	1085632.375
2596.40332	0.108138	0.394233	0.303774	1083119.5
2594.154297	0.107574	0.397143	0.312149	1082327.75
2591.904297	0.106342	0.391621	0.312462	1079848.375
2589.654297	0.104401	0.388671	0.302296	1075983.75
2587.40332	0.105673	0.393105	0.296651	1073536.125
2585.152344	0.101434	0.394944	0.295344	1072102.625
2582.899414	0.103156	0.396416	0.299719	1071273.625
2580.646484	0.09997	0.394638	0.290112	1070354
2578.393555	0.094497	0.397672	0.301248	1065958
2576.138672	0.090701	0.410363	0.308589	1066294.625
2573.884766	0.09096	0.410366	0.315338	1063451.125
2571.628906	0.09446	0.408871	0.31443	1062922.375
2569.373047	0.099795	0.410397	0.316086	1057559.125
2567.116211	0.101694	0.404855	0.316095	1056976.875
2564.858398	0.100866	0.395892	0.317262	1056247.5
2562.600586	0.096628	0.38846	0.311156	1052828.125
2560.341797	0.092309	0.389166	0.308014	1050284.875
2558.083008	0.087421	0.390543	0.3032	1048192.375
2555.822266	0.0872	0.392774	0.302391	1046855.438
2553.561523	0.090526	0.393525	0.299993	1045881.813
2551.300781	0.098435	0.395232	0.308567	1041936.938
2549.039063	0.105522	0.396891	0.306665	1041479.063
2546.776367	0.10542	0.397556	0.310376	1039513.125
2544.512695	0.104818	0.398078	0.312003	1038888.188
2542.249023	0.10183	0.402055	0.309651	1035408.813
2539.984375	0.097063	0.403262	0.312799	1037332.063
2537.719727	0.09605	0.403935	0.302856	1034009.5
2535.453125	0.098002	0.403769	0.300637	1029411.063
2533.1875	0.102869	0.409143	0.308666	1028480.563
