Wavenumber	B4C	Si	SiB6	SiC	SiBC
2699.163086	83997.71094	4896.422852	11705.20801	1171746.25	2620.398859
2696.943359	84296.19531	4797.300781	11682.68066	1169638.875	2608.925203
2694.723633	83852	4920.917969	11687.21191	1166987	2615.796336
2692.50293	83770.53125	4878.979492	11665.84766	1164378.375	2600.659118
2690.28125	83942.32031	4921.471191	11677.13086	1163963.25	2606.547994
2688.05957	83793.35938	4884.056641	11651.28027	1157295.25	2608.158799
2685.836914	83587.11719	4913.024414	11609.69629	1158665	2607.969713
2683.613281	83782.40625	4959.966797	11757.04004	1158658.75	2614.224036
2681.388672	83133.36719	4832.641602	11643.50586	1154389.875	2611.20668
2679.164063	83617.47656	4837.998535	11736.81152	1156372.625	2604.34972
2676.939453	83773.25	4836.61084	11688.50684	1153889.5	2608.028374
2674.712891	83832.33594	4841.962891	11652.58398	1151993	2601.083981
2672.486328	83395.10156	4845.065918	11677.3125	1145306.375	2600.108181
2670.259766	83015.35156	4834.696289	11554.97949	1144169.75	2612.683336
2668.032227	83208.13281	4896.152832	11505.65723	1139654.75	2601.385854
2665.803711	82919.51563	4882.408203	11584.25293	1141490.875	2607.665784
2663.574219	83376.875	4943.81543	11434.01074	1141316.125	2610.451302
2661.344727	82683.60156	4902.033691	11567.51953	1137061.25	2608.957534
2659.114258	83119.46094	4923.046387	11516.00488	1137192.625	2594.441507
2656.882813	83239.0625	4898.102051	11489.1709	1136537.125	2610.587305
2654.651367	82883.60156	4986.319336	11601.26172	1133224.625	2608.50861
2652.418945	83199.17969	4850.496094	11640.49316	1134234.75	2604.843395
2650.186523	83108.14844	4911.804688	11634.91699	1132011.75	2616.162168
2647.953125	82916.42969	4907.038574	11543.15723	1129368.125	2609.056088
2645.71875	82501.02344	4959.343262	11487.25684	1124945.5	2608.763273
2643.483398	83010.96094	4940.022461	11489.55762	1126467.75	2610.606374
2641.248047	82481.67969	4947.553223	11591.38574	1121503.75	2597.181841
2639.011719	82485.98438	4936.072754	11658.49707	1120678	2603.743266
2636.775391	82472.39844	4972.659668	11566.85742	1116107.375	2599.228048
2634.538086	82220.82031	5020.398926	11640.63965	1117486.875	2603.901891
2632.299805	82286.60938	4931.829102	11593.73828	1113630	2593.097427
2630.060547	81888.92188	4954.983887	11531.22949	1111734	2604.047741
2627.821289	82181.39063	4944.631836	11312.45898	1109139	2602.32996
2625.582031	82031.71875	4991.207031	11520.15527	1108712.75	2585.230185
2623.34082	82233.58594	5083.501953	11494.53809	1107850.5	2601.443515
2621.099609	82439.79688	4977.191406	11557.05371	1106449.875	2604.229775
2618.857422	81855.25781	4955.692383	11409.89063	1103233.375	2603.37289
2616.615234	81613.29688	5081.361816	11314.0918	1100100.125	2596.973951
2614.37207	81922.02344	4979.599609	11393.32031	1100578.25	2601.541363
2612.12793	81993.24219	4910.20752	11485.87207	1099554.25	2590.993038
2609.883789	82204.75781	5061.399414	11372.31055	1096121.375	2592.083867
2607.638672	81375.00781	4957.502441	11524.94336	1093039	2597.14359
2605.392578	81714.58594	5044.026367	11467.09375	1090568.375	2591.424737
2603.146484	81637.75	4935.741699	11425.96875	1089229.625	2584.551419
2600.899414	81291.70313	4987.730957	11365.95313	1087808.25	2588.144277
